City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Blind River,CA,86.11,overcast clouds,46.1834,-82.9582,Auberge Eldo Inn
1,Auki,SB,81.54,few clouds,-8.7676,160.7034,Auki Motel
8,Shimoda,JP,80.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
10,Jackson,US,89.15,clear sky,42.4165,-122.8345,Agate Village Apartments
11,Guerrero Negro,MX,75.81,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
13,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
19,Tabuk,PH,75.56,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
24,Jamestown,US,80.51,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
35,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
41,Iquitos,PE,80.02,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
42,Torbay,CA,81.37,broken clouds,47.6666,-52.7314,Gallows Cove
44,Victoria,HK,85.53,scattered clouds,22.2855,114.1577,Mini Central
48,Tigzirt,DZ,80.73,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
49,Macau,MO,84.96,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
51,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
64,Jablah,SY,78.91,clear sky,35.3614,35.9256,هوتيل
66,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
69,Zhuhai,CN,86.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
73,Les Cayes,HT,83.12,broken clouds,18.2,-73.75,Villa Orphee
75,Sinnamary,GF,79.59,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
77,Kapaa,US,78.71,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
85,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Minab,IR,89.1,overcast clouds,27.1467,57.0801,Bam campground
97,Korla,CN,85.62,clear sky,41.7597,86.1469,Gulisitan Hotel
100,Asfi,MA,78.91,overcast clouds,32.2994,-9.2372,Hôtel Abda
103,Goderich,CA,82.72,broken clouds,43.7501,-81.7165,Harmony Inn
107,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
110,Kulhudhuffushi,MV,81.3,overcast clouds,6.6221,73.07,Haajy Guest House 1
111,Calbiga,PH,76.32,overcast clouds,11.6247,125.0164,Lola Rosa
113,Asau,RO,75.96,broken clouds,46.4333,26.4,Casa Mika Ciobanus
115,Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
116,Coahuayana,MX,87.62,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
122,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
130,Corrooy,PH,77.27,broken clouds,16.7962,120.4453,Apaleng Park
135,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
136,Kaithal,IN,84.96,broken clouds,29.8,76.3833,Koel Complex
137,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
146,Hami,CN,85.35,scattered clouds,42.8,93.45,Laoyutang Resort
151,Tabatinga,BR,84.29,scattered clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
160,Mana,GF,78.76,overcast clouds,5.6592,-53.7767,LE SAMANA
161,Kushima,JP,77.2,overcast clouds,31.4583,131.2333,Hanaoka
173,Upata,VE,75.99,broken clouds,8.0086,-62.3989,Posada Villa Nela
179,Manavalakurichi,IN,76.89,broken clouds,8.1333,77.3,Jebinrio home
