City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Luderitz,NA,2022-07-19 21:03:15,-26.6481,15.1594,58.15,67,0,17.94
1,Busselton,AU,2022-07-19 20:58:43,-33.65,115.3333,58.93,81,100,13.18
2,Skoghall,SE,2022-07-19 21:03:16,59.3232,13.4655,64.96,63,66,3.44
3,Hilo,US,2022-07-19 21:03:16,19.7297,-155.09,84.27,84,100,8.05
4,Maceio,BR,2022-07-19 21:03:16,-9.6658,-35.7353,78.24,69,75,5.75
5,Carnarvon,AU,2022-07-19 21:03:17,-24.8667,113.6333,64.38,45,45,5.46
6,Talavera,PH,2022-07-19 21:03:17,15.6167,120.9333,76.86,86,100,3.09
7,Kodiak,US,2022-07-19 20:58:55,57.79,-152.4072,51.51,94,79,2.86
8,Butaritari,KI,2022-07-19 21:03:18,3.0707,172.7902,82.02,77,81,16.11
9,Pangnirtung,CA,2022-07-19 20:59:17,66.1451,-65.7125,42.8,93,100,9.22
10,San Cristobal,VE,2022-07-19 20:58:22,7.7669,-72.225,80.78,66,64,6.4
11,Sibolga,ID,2022-07-19 21:03:18,1.7427,98.7792,76.3,91,70,1.97
12,Puerto Ayora,EC,2022-07-19 21:03:19,-0.7393,-90.3518,78.76,91,51,5.01
13,Ilulissat,GL,2022-07-19 21:03:19,69.2167,-51.1,53.62,66,75,2.3
14,Tura,IN,2022-07-19 21:03:20,25.5198,90.2201,74.41,98,100,6.17
15,Fomboni,KM,2022-07-19 21:03:20,-12.28,43.7425,76.19,69,0,11.59
16,Zhangye,CN,2022-07-19 21:03:20,38.9342,100.4517,67.44,36,0,6.38
17,Tasiilaq,GL,2022-07-19 20:58:40,65.6145,-37.6368,40.26,82,51,1.43
18,Mar Del Plata,AR,2022-07-19 21:00:31,-38.0023,-57.5575,54.88,54,1,13.0
19,Atuona,PF,2022-07-19 21:03:21,-9.8,-139.0333,78.53,62,8,11.9
20,Inirida,CO,2022-07-19 21:03:21,3.8653,-67.9239,75.2,87,99,4.45
21,Manaure,CO,2022-07-19 21:03:22,11.7751,-72.4445,89.55,54,19,18.59
22,Yatou,CN,2022-07-19 21:03:22,37.15,122.3833,75.07,83,100,3.13
23,Albany,US,2022-07-19 21:00:10,42.6001,-73.9662,90.57,45,95,10.85
24,Longyearbyen,SJ,2022-07-19 21:03:23,78.2186,15.6401,53.44,76,75,13.8
25,Lata,PT,2022-07-19 21:03:23,40.1629,-8.3327,60.55,86,0,3.69
26,Townsville,AU,2022-07-19 21:03:23,-19.25,146.8,61.68,82,75,5.75
27,Port Hedland,AU,2022-07-19 21:03:24,-20.3167,118.5667,57.25,94,9,6.91
28,Rikitea,PF,2022-07-19 21:03:24,-23.1203,-134.9692,74.05,74,0,9.78
29,Fortuna,US,2022-07-19 21:03:25,40.5982,-124.1573,63.99,69,31,7.61
30,Diamantino,BR,2022-07-19 21:03:25,-14.4086,-56.4461,87.06,21,0,3.96
31,Hithadhoo,MV,2022-07-19 20:58:28,-0.6,73.0833,80.44,74,100,10.96
32,Kapaa,US,2022-07-19 20:58:47,22.0752,-159.319,82.38,80,70,5.01
33,New Norfolk,AU,2022-07-19 21:03:26,-42.7826,147.0587,37.71,87,4,2.82
34,Mahebourg,MU,2022-07-19 21:01:07,-20.4081,57.7,71.26,68,36,24.67
35,Fort Nelson,CA,2022-07-19 21:00:29,58.8053,-122.7002,69.28,35,82,14.81
36,Hualmay,PE,2022-07-19 21:03:26,-11.0964,-77.6139,65.55,74,71,10.45
37,Durusu,TR,2022-07-19 21:03:27,41.3053,28.6767,73.83,66,0,13.0
38,Elko,US,2022-07-19 21:00:29,41.0002,-115.5012,90.73,26,60,13.0
39,Tiksi,RU,2022-07-19 21:03:28,71.6872,128.8694,34.27,93,96,14.2
40,Castro,BR,2022-07-19 21:01:34,-24.7911,-50.0119,63.19,81,1,0.89
41,Constitucion,CL,2022-07-19 21:03:28,-35.3333,-72.4167,54.7,67,5,9.51
42,Lorengau,PG,2022-07-19 21:01:05,-2.0226,147.2712,78.94,82,100,3.85
43,Tazmalt,DZ,2022-07-19 21:03:29,36.3868,4.3989,83.39,38,0,3.76
44,Iskateley,RU,2022-07-19 21:03:29,67.6803,53.1512,60.62,67,13,12.39
45,Saskylakh,RU,2022-07-19 21:03:29,71.9167,114.0833,39.49,70,98,14.47
46,Cabo San Lucas,MX,2022-07-19 20:59:21,22.8909,-109.9124,93.61,69,85,3.0
47,Sao Filipe,CV,2022-07-19 21:04:30,14.8961,-24.4956,77.9,82,81,8.39
48,Khatanga,RU,2022-07-19 21:03:34,71.9667,102.5,42.64,61,100,16.93
49,Punta Arenas,CL,2022-07-19 20:59:39,-53.15,-70.9167,41.11,81,75,24.16
50,Ushuaia,AR,2022-07-19 21:04:30,-54.8,-68.3,40.66,65,40,11.5
51,Mount Isa,AU,2022-07-19 21:04:31,-20.7333,139.5,57.33,43,0,11.36
52,Hofn,IS,2022-07-19 21:03:16,64.2539,-15.2082,48.22,93,100,2.3
53,Marsa Matruh,EG,2022-07-19 21:04:31,31.3525,27.2453,75.65,76,9,11.77
54,Pinega,RU,2022-07-19 21:04:32,64.7001,43.3936,60.53,96,98,4.5
55,Gat,IL,2022-07-19 21:00:03,31.61,34.7642,84.4,100,0,5.12
56,Barrow,US,2022-07-19 21:04:32,71.2906,-156.7887,42.82,75,0,14.97
57,Novobiryusinskiy,RU,2022-07-19 21:04:33,56.9578,97.7076,53.76,97,93,6.62
58,Mangai,CD,2022-07-19 21:04:33,-4.05,19.5333,72.32,75,33,2.15
59,Thompson,CA,2022-07-19 21:04:34,55.7435,-97.8558,90.57,22,94,2.66
60,Wonthaggi,AU,2022-07-19 21:04:34,-38.6044,145.5913,45.45,88,39,8.16
61,Ambilobe,MG,2022-07-19 21:04:34,-13.2,49.05,70.68,58,0,10.6
62,Jamestown,US,2022-07-19 21:03:33,42.097,-79.2353,87.06,57,0,14.97
63,Ozinki,RU,2022-07-19 21:04:35,51.1786,49.6769,63.55,63,17,7.27
64,San Ignacio,BZ,2022-07-19 21:04:35,17.1561,-89.0714,93.04,37,21,10.92
65,Conceicao Do Araguaia,BR,2022-07-19 21:01:50,-8.2578,-49.2647,86.04,31,2,2.01
66,Airai,TL,2022-07-19 21:04:36,-8.9266,125.4092,52.65,75,67,3.24
67,Lebu,CL,2022-07-19 21:04:36,-37.6167,-73.65,50.23,72,5,3.24
68,Dunda,TZ,2022-07-19 21:04:36,-8.1167,34.25,60.4,67,56,3.67
69,Alta Floresta,BR,2022-07-19 20:59:57,-9.8756,-56.0861,93.02,24,20,4.61
70,Opuwo,NA,2022-07-19 21:04:37,-18.0607,13.84,58.08,46,0,2.71
71,Aquiraz,BR,2022-07-19 21:04:37,-3.9014,-38.3911,84.29,83,48,8.61
72,Balakhninskiy,RU,2022-07-19 21:04:38,58.0106,114.2769,56.86,89,40,4.81
73,Hermanus,ZA,2022-07-19 21:04:38,-34.4187,19.2345,53.19,75,29,5.1
74,Wattegama,LK,2022-07-19 21:04:39,6.7989,81.4808,75.27,92,91,1.86
75,Zhigansk,RU,2022-07-19 21:04:39,66.7697,123.3711,39.78,76,85,22.08
76,Muros,ES,2022-07-19 21:04:39,42.7762,-9.0603,67.08,89,34,4.83
77,Flinders,AU,2022-07-19 21:04:40,-34.5833,150.8552,51.19,90,64,8.01
78,Tuatapere,NZ,2022-07-19 21:04:40,-46.1333,167.6833,42.44,90,100,2.89
79,Cape Town,ZA,2022-07-19 21:04:41,-33.9258,18.4232,54.91,79,0,5.99
80,Mount Gambier,AU,2022-07-19 21:04:41,-37.8333,140.7667,34.05,91,1,4.25
81,Avarua,CK,2022-07-19 21:04:41,-21.2078,-159.775,77.05,65,40,9.22
82,Sassandra,CI,2022-07-19 21:04:42,4.95,-6.0833,73.35,77,97,6.73
83,Nichlaul,IN,2022-07-19 21:04:42,27.3167,83.7333,79.5,89,97,6.22
84,Tawau,MY,2022-07-19 21:04:42,4.2498,117.8871,77.29,90,60,3.51
85,Sohag,EG,2022-07-19 21:04:43,26.557,31.6948,89.29,20,0,6.93
86,Mazatlan,MX,2022-07-19 21:04:43,23.2167,-106.4167,90.91,66,7,7.0
